	AS1	AS2	AS3	SD1	SD2	SD3	SD4	SD5	SD6	SD8	SD9
911496	0	1.2	0.8	0	0	0	0	0	1.4	1.2	0
913875	6.66666666666667	0	0	4.33333333333333	3.33333333333333	5.83333333333333	5.16666666666667	5.33333333333333	0	0	0
91594	0	0	0	0.3	0.2	0	0.2	0	0	0	0
916108	3.9	0	0	6.4	4.7	6.5	3.6	3.2	0	0	0
91962	0	0	0	17	0.666666666666667	6	0	4.66666666666667	10.3333333333333	0	0
922239	0	0.5	0.75	0	0.75	0	0	0	15.25	4.75	11.5
92231	0.333333333333333	0.666666666666667	1.66666666666667	0	0	0	0	0	0	15.1666666666667	10
925707	0	3.75	0	0	0	0	0	0	0	2.25	1
929275	657.4	0	0	961.8	718.8	838.2	636.6	468.8	0	0	0
930592	0	0.5	0.5	0	0	0	0	0	1.25	0.5	0.5
935742	11.75	0.5	10.5	5.75	370	0.5	0	0	1	9.75	8.75
938948	0	175	45.5714285714286	0	4.85714285714286	0.285714285714286	0	0	0	0	0
944510	0	1	0	1	0	1.5	1	0	0	0	0
949789	0	1.9	0.3	0	0	0	0	0	0.2	0.3	0
950828	0	1.66666666666667	0	0	0	0	0	0	0.666666666666667	0.833333333333333	0
95168	0	1.66666666666667	11	0	0	0	0	0	0.666666666666667	0	0
956982	0.4	43.6	0	0.6	38.8	0	0	0	10.4	0	0
960076	0.333333333333333	0	0	0	0.833333333333333	0	0.333333333333333	0.5	0	0	0
960131	0.2	0	0	0.7	0.9	0.3	0.7	0.2	0	0	0
960695	0	0	1.8	0	0	8.8	0.4	0	6	0.4	0
962249	0	0	22.8	0	0	0	0	0	3.8	60	94
963344	2.25	0	0	2.75	2.5	1.25	3	4.5	0	0	0
967275	0	0	0	0.666666666666667	0	0.666666666666667	1.66666666666667	0	2.66666666666667	0	0
967427	0	1.75	0.75	0	0	0	0	0	0	1.25	0
967433	0	0.5	1.5	0	0	0	0	0	2.5	1	0.75
97342	334.8	0	0	489.6	292	371.6	400.8	373	0	0	0
993127	1.33333333333333	46	3.66666666666667	0	7.66666666666667	1.33333333333333	0	0	31.6666666666667	4.66666666666667	11
995893	0.5	854.5	0.333333333333333	0	0	0	0	0	724.166666666667	9.16666666666667	32
996167	0	406.75	0	0	0	0	0	0	96	85.75	9
996434	0	2.5	3	0	0	0	0	0	5	1.25	0
998905	0	0	0	2	0	1	1	0	0	0	0
